,Country,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
0,Germany,Munich,188.6,113.7,78.9,76.6,66.7,13.0,31.1,25.6,76.0
1,Germany,Stuttgart,186.3,135.1,64.9,75.1,64.4,7.5,30.6,42.0,81.1
2,Germany,Frankfurt,183.0,126.1,53.8,74.7,65.6,8.5,27.5,35.6,84.7
3,Germany,Cologne,180.7,115.6,58.1,74.9,61.8,7.1,33.5,34.1,84.8
4,Germany,Hamburg,175.6,106.2,57.5,75.3,70.2,10.7,33.0,28.7,82.8
5,Germany,Berlin,165.7,108.5,55.5,67.8,65.4,11.3,33.6,38.5,83.3
