,Country,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
97,United States,"Boston, MA",176.5,132.3,60.1,72.7,86.0,8.8,44.5,29.8,71.7
98,United States,"San Jose, CA",174.9,154.1,51.9,64.6,88.8,8.5,38.7,50.3,95.5
99,United States,"San Diego, CA",173.6,123.2,59.6,67.9,83.1,12.5,35.2,39.8,97.1
100,United States,"San Antonio, TX",173.3,132.2,52.2,67.9,65.0,8.1,31.7,43.9,80.6
101,United States,"Pittsburgh, PA",172.7,136.8,61.6,72.9,71.2,8.0,37.9,48.0,72.1
102,United States,"Houston, TX",170.6,163.0,36.5,69.3,65.8,3.6,41.7,57.1,85.5
103,United States,"San Francisco, CA",165.5,160.6,38.5,64.5,91.9,8.7,49.8,50.0,97.3
104,United States,"Phoenix, AZ",165.1,154.5,46.4,67.2,65.9,3.5,33.0,57.1,53.8
105,United States,"Washington, DC",164.5,137.5,39.7,70.1,83.7,8.6,41.2,42.1,81.6
106,United States,"Denver, CO",163.4,130.0,53.0,69.2,74.4,6.6,36.0,44.3,56.3
107,United States,"Las Vegas, NV",162.4,145.9,44.6,54.1,65.9,4.0,27.4,52.1,57.4
108,United States,"Miami, FL",161.5,112.1,47.2,63.6,75.5,6.1,42.9,38.7,85.7
109,United States,"Honolulu, HI",159.5,94.6,52.3,72.9,88.5,11.0,41.6,37.1,95.3
110,United States,"Sacramento, CA",159.0,102.0,50.1,68.0,81.9,10.8,27.0,47.7,90.6
111,United States,"Philadelphia, PA",151.9,119.0,34.0,70.2,75.2,6.9,40.4,48.2,78.0
112,United States,"Chicago, IL",150.1,129.7,34.0,65.2,77.6,4.6,41.8,50.5,66.1
113,United States,"Los Angeles, CA",137.4,119.1,46.9,61.3,80.4,8.4,57.1,67.7,95.5
114,United States,"New York, NY",134.2,105.4,49.3,62.7,100.0,13.3,43.6,58.7,79.7
